"","category","name","price","ratings","no_of_reviews"
"140","Makeup","L'Oreal Paris Makeup True Match Lumi Glotion Natural Glow Enhancer Lotion, Fair, 1.35 Ounces","$36.93","4.6 out of 5 stars","21,582"
"141","Makeup","Personalized Initial Letter Patch Makeup Bag, Preppy Chenille Letter Cosmetic Pouch with Zipper, Purple/White-Letter, E","$46.34","4.5 out of 5 stars","122"
"142","Makeup","Travel Makeup Brush Holder，Waterproof Makeup Brush Holder，Silicone Fashion and Portable Cosmetic Brushes Holder，Soft and Sleek Makeup Tools Organizer for Travel, Khaki, Simplicity，Minimalist","$41.79","4.7 out of 5 stars","1,291"
"143","Makeup","Rechargeable Wall Mounted Lighted Makeup Vanity Mirror 8 Inch Double Sided 1X 10X Magnifying Bathroom Mirror, 3 Color Lighting, Touch Screen Dimming, Extended Arm 360 Rotation Shaving Light up Mirror","$35.89","4.5 out of 5 stars","4,510"
"144","Makeup","NYX Professional Makeup Honey Dew Me Up Primer, 22 ml","$46.45","4.3 out of 5 stars","1,219"
"145","Makeup","WEILY Portable Travel Makeup Mirror with 72 LED Lights, Touch Screen Three Colors Dimmable Lighted Makeup Mirror, 2000 mAh USB Rechargeable Lighted Vanity Mirror,Compact Foldable Travel Mirror","$47.69","4.5 out of 5 stars","2,244"
"146","Makeup","Fine Angled Eyeliner Brush, JASSINS Ultra thin Precision Makeup Brushes Set, Point Eyeliner, Synthetic Bristles Eye Makeup Tool (3 Pcs)",NA,"4.5 out of 5 stars","1,574"
"147","Makeup","NYX Professional Makeup Epic Wear Liner Sticks Olive",NA,"4.2 out of 5 stars","3,545"
"148","Makeup","MAGEFY Small Makeup Bag Mini Makeup Pouch Cute Cosmetic Bag for Women Travel Pouch Essentials Bags with Slip-in Pockets -Black",NA,"4.8 out of 5 stars","35"
"149","Makeup","L'Oréal Paris Infallible More Than Concealer 326 Vanilla",NA,"4.4 out of 5 stars","11,685"
"150","Makeup","e.l.f. Ultimate Makeup Brush Set & Travel Roll, 17-Piece Brush Kit, Brushes For Eyeshadow, Foundation, Powder, Concealer & more, Vegan & Cruelty-free",NA,"4.5 out of 5 stars","53"
"151","Makeup","Charlotte Tilbury Airbrush Flawless Setting Spray (100ml / 3.3 Fl Ozl),Clear",NA,"4.6 out of 5 stars","1,321"
"152","Makeup","HEYMKGO Makeup Brushes Professional Marble Makeup Brush Set, Soft and Odor-free Natural Synthetic Bristles,10pcs Makeup Brush + 2 Makeup Sponge + Cosmetics Bag",NA,"4.5 out of 5 stars","5,697"
"153","Makeup","NYX Professional Makeup Thick It Stick It, Taupe",NA,"4.3 out of 5 stars","12,822"
"154","Makeup","Joyeee 2 Pcs 3 In 1 Blush Highlighter Contour Palette, Natural Long-Lasting Sweat-Resistant Makeup Powder, Professional Make Up Set for Women Girl #2",NA,"3.7 out of 5 stars","3"
"155","Makeup","MAANGE Cosmetic Bags for Women Small Makeup Bag for Purse",NA,"4.5 out of 5 stars","351"
"156","Makeup","Physicians Formula Powder Palette Mineral Glow Pearls, Light Bronze, 0.28 oz.",NA,"4.4 out of 5 stars","3,340"
"157","Makeup","Black Smoky Eyeshadow Palette, DE'LANCI PANDA 9 Colours True Black Dark Grey Smokey Eyeshadow Palette Goth Makeup Pallet, Soft Matt Shimmer High Pigmented Basic Black White Grey Shade for Halloween",NA,"4.6 out of 5 stars","239"
"158","Makeup","Joyeee 6 Color Correcting Concealer Kit with 11 Pcs Makeup Brush Kits, Light Color Combination Cream Concealer Palet for Light to Medium Skin Tone, Cover Dark Circles, Bruises, Spots, Blemish",NA,"5.0 out of 5 stars","1"
"159","Makeup","Makeup Brushes 28 Pcs Make up Brushes Professional Makeup brushes Set Premium Synthetic Face Powder Blush Pointed Eyeshadow Blending Brush Kit with Gift Box(Champagne)",NA,"4.4 out of 5 stars","39"
"160","Makeup","NYX Professional Makeup Fill & Fluff Eyebrow Pomade Pencil - Brunette",NA,"4.5 out of 5 stars","10,062"
"161","Makeup","Rimmel London Lasting Matte Primer 30ml",NA,"4.2 out of 5 stars","2,256"
"162","Makeup","10 Colors Liquid Glitter Eyeliner Metallic Shimmer Glitter Eyeshadow Pigment Eyebrown Shimmer Waterproof Face Lips Art for Party Festival Makeup",NA,"4.1 out of 5 stars","6,337"
"163","Makeup","Revlon Photoready Rose Glow Face Makeup Primer, Rose Quartz, 1.0 Fl. Oz",NA,"3.9 out of 5 stars","3,574"
"164","Makeup","NYX Professional Makeup Can't Stop Won't Stop Mattifying Powder Bright Translucent",NA,"4.1 out of 5 stars","2,164"
"165","Makeup","Neon Glitter Eyeshadow Palette Makeup,Afflano UV Glow Blacklight Highly Pigmented Palette Eye Shadow Pallets,Matte Bright Colorful Rainbow Blue Red Orange Purple Green Pressed Glitter Makeup Palettes",NA,"4.3 out of 5 stars","2,589"
"166","Makeup","Makeup Remover Pads Reusable Round Soft Face Cleansing Puffs Towels Double Sided Washable Makeup Removal Cloth Microfibre Multifunctional (#3)",NA,"5.0 out of 5 stars","1"
