"","prod_name","title","reviewer","review","date","ratings","type_of_purchase"
"109","0ml-warm-neutrals-professional-ultimate","quality was surprisingly great","jd","the media could not be loaded                                                                                    the colors in this palate are very vibrant and last long you can wear layered colors for a dramatic look or just a hint of color to brighten your face great makeup",2023-12-19,5,"verified purchase"
"110","0ml-warm-neutrals-professional-ultimate","la qualit est superbe","jd","je vous recommande cette palette se sont des fards faciles  manipuler et les couleurs sont chaudes ce qui peut faire des superbes makeup simple ou complexe",2023-12-11,5,"verified purchase"
"111","0ml-warm-neutrals-professional-ultimate","super","the pack that arrived had been opened and the middle brush was missing i sent it back straight away disappointing","trs belle couleurs bien pigmentes les fards tiennent toute la journe sans bavurejai les palettes naked et franchement cette palette a la mme qualit pour un prix bien plus attrayant et accessible pour les budgets moins levsagrablement surprise je recommande ",2023-05-02,4,"verified purchase"
"112","0ml-warm-neutrals-professional-ultimate","jadore","product is good but poorly packaged","les couleurs des fards sont top",2023-11-29,5,"verified purchase"
"113","0ml-warm-neutrals-professional-ultimate","good deal most competitive price among all platform","provost","super pretty colors every single color are so nice perfect brown tone i luv this palette so much good deal via amazon",2023-12-20,3,"verified purchase"
"114","0ml-warm-neutrals-professional-ultimate","love the colors","astrid delvoye",NA,2023-12-26,5,"verified purchase"
"115","0ml-warm-neutrals-professional-ultimate","paleta de sombras","alice lim","sombras muy bonitas para m trabajo esta paleta de colores la quera hace tiempo",2021-08-30,5,"verified purchase"
"116","0ml-warm-neutrals-professional-ultimate","super awesome","alvin","wow what a pallet with all  colours you needed in one",2022-10-14,5,"verified purchase"
"117","0ml-warm-neutrals-professional-ultimate","lumineux","alvin","cest un cadeau qui fait son effet",2024-02-26,5,"verified purchase"
"118","0ml-warm-neutrals-professional-ultimate","prodotto arrivato danneggiato","ana belen perez ortiz","la palette  ottimama un ombrello ha ceduto",2019-01-02,5,"verified purchase"
